Host,GPU_id,Team,Part,Person
3090a,0,HAI,HAI,HAI
3090a,1,HAI,HAI,HAI
3090a,2,HAI,HAI,HAI
3090a,3,HAI,HAI,HAI
3090a,4,HAI,HAI,HAI
3090a,5,HAI,HAI,HAI
3090a,6,HAI,HAI,HAI
3090a,7,HAI,HAI,HAI
3090b,0,Research,Research,Research
3090b,1,Research,Research,Research
3090b,2,Research,Research,Research
3090b,3,Research,Research,Research
3090b,4,Research,Research,Research
3090b,5,Research,Research,Research
3090b,6,Research,Research,Research
3090b,7,Research,Research,Research
3090c,0,HAI,HAI,HAI
3090c,1,HAI,HAI,HAI
3090c,2,HAI,HAI,HAI
3090c,3,HAI,HAI,HAI
3090c,4,HAI,HAI,HAI
3090c,5,HAI,HAI,HAI
3090c,6,HAI,HAI,HAI
3090c,7,HAI,HAI,HAI
3090d,0,NetsPresso,CR,CR
3090d,1,NetsPresso,CR,CR
3090d,2,NetsPresso,CR,CR
3090d,3,NetsPresso,CR,CR
3090d,4,NetsPresso,CR,CR
3090d,5,NetsPresso,CR,CR
3090d,6,NetsPresso,CR,CR
3090d,7,NetsPresso,CR,CR
3090e,0,NetsPresso,CR,CR
3090e,1,NetsPresso,CR,CR
3090e,2,NetsPresso,CR,CR
3090e,3,NetsPresso,CR,CR
3090e,4,NetsPresso,CR,CR
3090e,5,NetsPresso,CR,CR
3090e,6,NetsPresso,CR,CR
3090e,7,NetsPresso,CR,CR
3090f,0,NetsPresso,CR,CR
3090f,1,NetsPresso,CR,CR
3090f,2,NetsPresso,CR,CR
3090f,3,NetsPresso,CR,CR
3090f,4,NetsPresso,CR,CR
3090f,5,NetsPresso,CR,CR
3090f,6,NetsPresso,CR,CR
3090f,7,NetsPresso,CR,CR
3090g,0,NetsPresso,Application,Application
3090g,1,NetsPresso,Application,Application
3090g,2,NetsPresso,Application,Application
3090g,3,NetsPresso,Application,Application
3090g,4,NetsPresso,Application,Application
3090g,5,NetsPresso,Application,Application
3090g,6,NetsPresso,Application,Application
3090g,7,NetsPresso,Application,Application
3090h,0,NetsPresso,Service,develop
3090h,1,NetsPresso,Service,develop
3090h,2,NetsPresso,Service,develop
3090h,3,NetsPresso,Service,develop
3090h,4,NetsPresso,Service,develop
3090h,5,NetsPresso,Service,develop
3090h,6,NetsPresso,Service,develop
3090h,7,NetsPresso,Service,develop
3090i,0,NetsPresso,Service,production
3090i,1,NetsPresso,Service,production
3090i,2,NetsPresso,Service,production
3090i,3,NetsPresso,Service,production
3090i,4,NetsPresso,Service,production
3090i,5,NetsPresso,Service,production
3090i,6,NetsPresso,Service,production
3090i,7,NetsPresso,Service,production
3090j,0,NetsPresso,Service,production
3090j,1,NetsPresso,Service,production
3090j,2,NetsPresso,Service,production
3090j,3,NetsPresso,Service,production
3090j,4,NetsPresso,Service,production
3090j,5,NetsPresso,Service,production
3090j,6,NetsPresso,Service,production
3090j,7,NetsPresso,Service,production
3090k,0,NetsPresso,Service,staging
3090k,1,NetsPresso,Service,staging
3090k,2,NetsPresso,Service,staging
3090k,3,NetsPresso,Service,staging
3090k,4,NetsPresso,Service,staging
3090k,5,NetsPresso,Service,staging
3090k,6,NetsPresso,Service,staging
3090k,7,NetsPresso,Service,staging
3090l,0,NetsPresso,Service,production
3090l,1,NetsPresso,Service,production
3090l,2,NetsPresso,Service,production
3090l,3,NetsPresso,Service,production
3090l,4,NetsPresso,Service,production
3090l,5,NetsPresso,Service,production
3090l,6,NetsPresso,Service,production
3090l,7,NetsPresso,Service,production
3090m,0,NetsPresso,Application,Application
3090m,1,NetsPresso,Application,Application
3090m,2,NetsPresso,Application,Application
3090m,3,NetsPresso,Application,Application
3090m,4,NetsPresso,Application,Application
3090m,5,NetsPresso,Application,Application
3090m,6,NetsPresso,Application,Application
3090m,7,NetsPresso,Application,Application
honest,0,NetsPresso,CR,Bokyeong
honest,1,NetsPresso,CR,Bokyeong
love,0,NetsPresso,HAI,HAI
love,1,NetsPresso,HAI,HAI
love,2,NetsPresso,HAI,HAI
love,3,NetsPresso,HAI,HAI
truth,0,NetsPresso,HAI,HAI
truth,1,NetsPresso,HAI,HAI
truth,2,NetsPresso,HAI,HAI
truth,3,NetsPresso,HAI,HAI
wish,0,NetsPresso,Service,Service
wish,1,NetsPresso,Service,Service
wish,2,NetsPresso,Service,Service
wish,3,NetsPresso,Service,Service
beauty,0,NetsPresso,CR,CR
beauty,1,NetsPresso,CR,CR
beauty,2,NetsPresso,CR,CR
beauty,3,NetsPresso,CR,CR
beauty,4,NetsPresso,CR,CR
beauty,5,NetsPresso,CR,CR
beauty,6,NetsPresso,CR,CR
beauty,7,NetsPresso,CR,CR
wisdom,0,ITS,ITS,ITS
wisdom,1,ITS,ITS,ITS
wisdom,2,ITS,ITS,ITS
wisdom,3,ITS,ITS,ITS
wisdom,4,ITS,ITS,ITS
wisdom,5,ITS,ITS,ITS
wisdom,6,ITS,ITS,ITS
wisdom,7,ITS,ITS,ITS
sejong,0,HAI,HAI,HAI
sejong,1,HAI,HAI,HAI
sejong,2,HAI,HAI,HAI
sejong,3,HAI,HAI,HAI
sejong,4,HAI,HAI,HAI
sejong,5,HAI,HAI,HAI
sejong,6,HAI,HAI,HAI
sejong,7,HAI,HAI,HAI
galilei,0,NetsPresso,CR,CR
galilei,1,NetsPresso,CR,CR
galilei,2,NetsPresso,CR,CR
galilei,3,NetsPresso,CR,CR
galilei,4,NetsPresso,CR,CR
galilei,5,NetsPresso,CR,CR
galilei,6,NetsPresso,CR,CR
galilei,7,NetsPresso,CR,CR
hope,0,NetsPresso,CR,CR
hope,1,NetsPresso,CR,CR
hope,2,NetsPresso,CR,CR
hope,3,NetsPresso,CR,CR
hope,4,NetsPresso,CR,CR
hope,5,NetsPresso,CR,CR
hope,6,NetsPresso,CR,CR
hope,7,NetsPresso,CR,CR
dasom,0,NetsPresso,Application,Application
dasom,1,NetsPresso,Application,Application
dasom,2,NetsPresso,Application,Application
dasom,3,NetsPresso,Application,Application
dasom,4,NetsPresso,Application,Application
dasom,5,NetsPresso,Application,Application
dasom,6,NetsPresso,Application,Application
dasom,7,NetsPresso,Application,Application
